audio_path,audio_filename.wav,subtitle,text_for_tts,original_english
\voice\acknowledge\keep_quiet_in_corners_disabled,4.wav,"bestätigt, Anrufe zu jedem Zeitpunkt der Runde","bestätigt, Anrufe zu jedem Zeitpunkt der Runde","acknowledged, calls at any point in the lap"
\voice\acknowledge\keep_quiet_in_corners_enabled,1.wav,"verstanden, ich werde in den Kurven still sein","verstanden, ich werde in den Kurven still sein","understood, I'll keep quiet in the corners"
\voice\acknowledge\keep_quiet_in_corners_enabled,2.wav,"bestätigt, keine weiteren Anrufe in den Kurven","bestätigt, keine weiteren Anrufe in den Kurven","acknowledged, no more calls in the corners"
\voice\acknowledge\keep_quiet_in_corners_enabled,3.wav,"in Ordnung, ich werde versuchen, die Anrufe in den Bremszonen zu minimieren","in Ordnung, ich werde versuchen, die Anrufe in den Bremszonen zu minimieren","okay, I'll try to minimize the calls in the braking zones"
\voice\acknowledge\keep_quiet_in_corners_enabled,4.wav,"in Ordnung, nur auf den Geraden","in Ordnung, nur auf den Geraden","okay, call only on the straights"
\voice\acknowledge\no,1.wav,nein,nein,no
\voice\acknowledge\no,2.wav,nein,nein,no
\voice\acknowledge\no,3.wav,nein,nein,no
\voice\acknowledge\no,4.wav,nein,nein,no
\voice\acknowledge\no_data,1.wav,Wir haben diese Daten nicht,Wir haben diese Daten nicht,we don't have that data
\voice\acknowledge\no_data,2.wav,Wir haben diese Daten nicht.,Wir haben diese Daten nicht.,we haven't got that data
\voice\acknowledge\no_data,3.wav,Wir haben nicht genug Daten dafür,Wir haben nicht genug Daten dafür,we don't have enough data for that
\voice\acknowledge\no_data,4.wav,Wir haben diese Daten nicht.,Wir haben diese Daten nicht.,we haven't got that data
\voice\acknowledge\no_data,5.wav,Wir haben die Daten nicht,Wir haben die Daten nicht,we don't have the data
\voice\acknowledge\no_more_data,1.wav,Wir haben keine weiteren Daten,Wir haben keine weiteren Daten,we don't have any more data
\voice\acknowledge\no_more_data,2.wav,wir haben keine weiteren Informationen,wir haben keine weiteren Informationen,we have no more information
\voice\acknowledge\no_more_data,3.wav,Wir haben keine weiteren Daten,Wir haben keine weiteren Daten,we don't have any more data
\voice\acknowledge\pit_strategy_1,23.wav,Pitstrategie eins ausgewählt,Pitstrategie eins ausgewählt,pit strategy 1 selected
\voice\acknowledge\pit_strategy_2,24.wav,Pitstrategie zwei ausgewählt,Pitstrategie zwei ausgewählt,pit strategy 2 selected
\voice\acknowledge\pit_strategy_3,25.wav,Pitstrategie drei ausgewählt,Pitstrategie drei ausgewählt,pit strategy 3 selected
\voice\acknowledge\pit_strategy_4,26.wav,Pit-Strategie vier ausgewählt,Pit-Strategie vier ausgewählt,pit strategy 4 selected
\voice\acknowledge\radio_check,1_op_prefix_ok.wav,"ja, ich kann dich hören","ja, ich kann dich hören","yeah, I can hear you"
\voice\acknowledge\radio_check,2_op_prefix_ok.wav,Ich kann dich hören,Ich kann dich hören,I can hear you
\voice\acknowledge\radio_check,3.wav,"ja, ich kann dich hören","ja, ich kann dich hören","yes, I can hear you"
\voice\acknowledge\spotterDisabled,1.wav,"in Ordnung, keine weiteren Beobachtermeldungen","in Ordnung, keine weiteren Beobachtermeldungen","okay, no more spotter calls"
\voice\acknowledge\spotterDisabled,2.wav,"in Ordnung, keine Spottermeldungen","in Ordnung, keine Spottermeldungen","okay, no spotter calls"
\voice\acknowledge\spotterDisabled,3.wav,"in Ordnung, keine Punktanrufe","in Ordnung, keine Punktanrufe","okay, no spot calls"
\voice\acknowledge\spotterEnabled,1.wav,"verstanden, ich werde diese Anrufe machen","verstanden, ich werde diese Anrufe machen","understood, I'll give those calls"
\voice\acknowledge\spotterEnabled,2.wav,"in Ordnung, ich werde es entdecken","in Ordnung, ich werde es entdecken","okay, I'll spot"
\voice\acknowledge\spotterEnabled,3.wav,"verstanden, ich werde diese Anrufe machen","verstanden, ich werde diese Anrufe machen","understood, I'll give those calls"
\voice\acknowledge\stand_by,1.wav,"in Ordnung, Wartestand","in Ordnung, Wartestand","okay, standby"
\voice\acknowledge\stand_by,2.wav,Stand-by,Stand-by,standby
\voice\acknowledge\stand_by,3.wav,nur einen Moment,nur einen Moment,just a minute
\voice\acknowledge\stand_by,4.wav,durchhalten,durchhalten,hold on
\voice\acknowledge\stand_by,5.wav,Stand-by,Stand-by,standby
\voice\acknowledge\stand_by,6.wav,Stand-by,Stand-by,standby
\voice\acknowledge\stand_by,7.wav,Stand-by,Stand-by,standby
\voice\acknowledge\stand_by,8.wav,nur einen Moment,nur einen Moment,just a minute
\voice\acknowledge\yellowDisabled,1.wav,"in Ordnung, keine weiteren Unfallmeldungen","in Ordnung, keine weiteren Unfallmeldungen","okay, no more incident updates"
\voice\acknowledge\yellowDisabled,2.wav,"in Ordnung, keine gelben Flaggenmeldungen mehr","in Ordnung, keine gelben Flaggenmeldungen mehr","okay, no more yellow flag reports"
\voice\acknowledge\yellowDisabled,3.wav,"in Ordnung, keine weiteren Gelbmeldepunkte","in Ordnung, keine weiteren Gelbmeldepunkte","okay, no more yellow reports"
\voice\acknowledge\yellowEnabled,4.wav,"bestätigt, wir werden über Gelbes berichten","bestätigt, wir werden über Gelbes berichten","acknowledged, we'll report on yellows"
\voice\acknowledge\yellowEnabled,5.wav,"in Ordnung, wir geben gelbe Berichte","in Ordnung, wir geben gelbe Berichte","okay, we'll give yellow reports"
\voice\acknowledge\yellowEnabled,6.wav,"in Ordnung, wir werden Ihnen die Unfallberichte zukommen lassen","in Ordnung, wir werden Ihnen die Unfallberichte zukommen lassen","okay, we'll give you incident reports"
\voice\acknowledge\yes,1.wav,ja,ja,yes
\voice\acknowledge\yes,2.wav,ja,ja,yes
\voice\acknowledge\yes,3.wav,ja,ja,yes
\voice\acknowledge\yes,4.wav,ja,ja,yea
\voice\acknowledge\yes,5.wav,ja,ja,yes
\voice\alarm_clock\alarms,1.wav,HORN,HORN,FOGHORN
\voice\alarm_clock\am,1.wav,uhr,uhr,a.m.
\voice\alarm_clock\am,2.wav,uhr,uhr,a.m.
\voice\alarm_clock\am,3.wav,uhr,uhr,a.m.
\voice\alarm_clock\notify,1.wav,wir werden Sie informieren bei,wir werden Sie informieren bei,we'll notify you at
\voice\alarm_clock\notify,2.wav,"in Ordnung, wir werden Sie benachrichtigen bei","in Ordnung, wir werden Sie benachrichtigen bei","okay, we'll notify you at"
\voice\alarm_clock\notify,3.wav,"in Ordnung, wir werden Sie benachrichtigen bei","in Ordnung, wir werden Sie benachrichtigen bei","all right, we'll notify you at"
\voice\alarm_clock\notify,4.wav,"bestätigt, Sie werden informiert beim","bestätigt, Sie werden informiert beim","acknowledged, you'll be notified at"
\voice\alarm_clock\notify,5.wav,"in Ordnung, wir werden Sie benachrichtigen bei","in Ordnung, wir werden Sie benachrichtigen bei","okay, we'll notify you at"
\voice\alarm_clock\notify,6.wav,wir werden Sie benachrichtigen bei,wir werden Sie benachrichtigen bei,we'll notify you at
\voice\alarm_clock\pm,4.wav,nachmittags,nachmittags,p.m.
\voice\alarm_clock\pm,5.wav,nachmittags,nachmittags,p.m.
\voice\alarm_clock\pm,6.wav,nachmittags,nachmittags,p.m.
\voice\battery\about_to_run_out,1.wav,"diese Batterie ist im Begriff zu versagen, Kumpel","diese Batterie ist im Begriff zu versagen, Kumpel","this battery is about to run out, mate"
\voice\battery\about_to_run_out,2.wav,"dieses Batterie hat es hinter sich, es ist im Begriff auszugehen","dieses Batterie hat es hinter sich, es ist im Begriff auszugehen","this battery is had it, it's about to run out"
\voice\battery\about_to_run_out,3.wav,diese Batterie ist ziemlich am Ende,diese Batterie ist ziemlich am Ende,this battery is pretty much done
\voice\battery\battery_use_increasing,1.wav,Ihre Batterieverwendung nimmt zu,Ihre Batterieverwendung nimmt zu,your battery use is increasing
\voice\battery\battery_use_increasing,2.wav,Ihre Energieverwendung nimmt zu,Ihre Energieverwendung nimmt zu,your energy use is increasing
\voice\battery\battery_use_increasing,3.wav,Ihre Batterieverwendung nimmt zu,Ihre Batterieverwendung nimmt zu,your battery use is increasing
\voice\battery\battery_use_reducing,1.wav,Ihre Batterieverwendung nimmt ab,Ihre Batterieverwendung nimmt ab,your battery use is dropping
\voice\battery\battery_use_reducing,2.wav,die Nutzung Ihrer Batterie nimmt ab,die Nutzung Ihrer Batterie nimmt ab,your battery use is reducing
\voice\battery\battery_use_reducing,3.wav,Ihre Energieverwendung verringert sich,Ihre Energieverwendung verringert sich,your energy use is reducing
\voice\battery\battery_use_stable,1.wav,Ihre Batterieverwendung ist jetzt stabil,Ihre Batterieverwendung ist jetzt stabil,your battery use is now stable
\voice\battery\battery_use_stable,2.wav,Ihre Batterieverwendung ist stabil,Ihre Batterieverwendung ist stabil,your battery use is stable
\voice\battery\battery_use_stable,3.wav,die Nutzung Ihrer Batterie ist stabilisiert,die Nutzung Ihrer Batterie ist stabilisiert,your battery use is stabilized
\voice\battery\critical_battery,1.wav,Ihre Batterie ist fast leer,Ihre Batterie ist fast leer,your battery is almost empty
\voice\battery\critical_battery,2.wav,die Batterie ist wirklich niedrig,die Batterie ist wirklich niedrig,the battery is really low
\voice\battery\critical_battery,3.wav,die Batterie ist wirklich sehr niedrig,die Batterie ist wirklich sehr niedrig,the battery level is really low
\voice\battery\critical_battery,4.wav,"kritischer Akku-Level, unsere Energie ist wirklich sehr niedrig","kritischer Akku-Level, unsere Energie ist wirklich sehr niedrig","critical battery level, we're really low on energy"
\voice\battery\current_charge_should_make_end,1.wav,"du solltest es schaffen, bis ans Ende mit dieser Ladezahl zu kommen","du solltest es schaffen, bis ans Ende mit dieser Ladezahl zu kommen",you should be able to make it to the end on this charge
\voice\battery\current_charge_should_make_end,2.wav,Ihr aktueller Ladezustand sollte bis zum Ende des Rennens reichen,Ihr aktueller Ladezustand sollte bis zum Ende des Rennens reichen,your current charge level should last to the end of the race
\voice\battery\current_charge_should_make_end,3.wav,"wir denken, dass Sie mit Ihrer aktuellen Ressourcenausstattung das Ende schaffen werden","wir denken, dass Sie mit Ihrer aktuellen Ressourcenausstattung das Ende schaffen werden",we think you'll make it to the end on your current charge
\voice\battery\current_charge_should_make_half_distance,1.wav,"sollte in der Lage sein, mit der aktuellen Ladung das Mittelfeld zu erreichen","sollte in der Lage sein, mit der aktuellen Ladung das Mittelfeld zu erreichen",should be able to reach the middle of the race on the current charge
\voice\battery\current_charge_should_make_half_distance,2.wav,"sollte in der Lage sein, die Halbstrecke mit der aktuellen Ladung zu schaffen","sollte in der Lage sein, die Halbstrecke mit der aktuellen Ladung zu schaffen",should be able to make the midpoint of the race on the current charge
\voice\battery\current_charge_should_make_half_distance,3.wav,die aktuelle Aufladung sollte reichen bis zur Halbstrecke des Rennens,die aktuelle Aufladung sollte reichen bis zur Halbstrecke des Rennens,the current charge should last you to the midpoint of the race
\voice\battery\five_minutes_battery,1.wav,es bleiben etwa fünf Minuten auf dieser Batterie,es bleiben etwa fünf Minuten auf dieser Batterie,there's about 5 minutes left in this battery
\voice\battery\five_minutes_battery,2.wav,Wir haben noch etwa fünf Minuten mit dieser Batterie,Wir haben noch etwa fünf Minuten mit dieser Batterie,we've got about 5 more minutes on this battery
\voice\battery\five_minutes_battery,3.wav,diese Batterie hält noch etwa fünf Minuten,diese Batterie hält noch etwa fünf Minuten,this battery will last about 5 more minutes
\voice\battery\four_laps_battery,1.wav,Wir haben noch vier Runden an Akkupower,Wir haben noch vier Runden an Akkupower,we got 4 laps of battery power left
\voice\battery\four_laps_battery,2.wav,es bleiben etwa vier Runden im Akku,es bleiben etwa vier Runden im Akku,there's about 4 laps left in the battery
\voice\battery\four_laps_battery,3.wav,die Batterie wird noch etwa vier Runden halten,die Batterie wird noch etwa vier Runden halten,the battery will last about 4 more laps
\voice\battery\half_charge_warning,1.wav,wir haben die Hälfte unserer Batterieladung übrig,wir haben die Hälfte unserer Batterieladung übrig,we got half our battery charge remaining
\voice\battery\half_charge_warning,2.wav,die Batterie ist jetzt auf halbe Leistung,die Batterie ist jetzt auf halbe Leistung,the battery is now at half power
\voice\battery\half_charge_warning,3.wav,wir haben die halbe Batteriekraft noch,wir haben die halbe Batteriekraft noch,"we got half the battery power left, now"
\voice\battery\half_distance_good_battery,1.wav,"halbe Distanz, die Batterie sieht gut aus, wir schaffen es bis ans Ende","halbe Distanz, die Batterie sieht gut aus, wir schaffen es bis ans Ende","half distance, the battery looks good, we'll make it to the end"
\voice\battery\half_distance_good_battery,2.wav,"halbteils Strecke, die Batteriekraft sieht in Ordnung aus","halbteils Strecke, die Batteriekraft sieht in Ordnung aus","half distance, the battery power looks okay"
\voice\battery\half_distance_good_battery,3.wav,"das ist halbe Strecke, die Batterie sieht gut aus, wir denken, wir schaffen es bis zum Ende","das ist halbe Strecke, die Batterie sieht gut aus, wir denken, wir schaffen es bis zum Ende","that's half distance, the battery looks good, we think we'll make it to the end"
\voice\battery\half_distance_good_battery,4.wav,"halbstrecke, wir sollten genug leistung haben, um zum ende zu kommen","halbstrecke, wir sollten genug leistung haben, um zum ende zu kommen","half distance, we should have enough power to get to the end"
\voice\battery\half_distance_low_battery,1.wav,"das ist halbe Strecke, bei diesem Tempo schaffen wir es nicht bis ans Ende mit dieser Ladung","das ist halbe Strecke, bei diesem Tempo schaffen wir es nicht bis ans Ende mit dieser Ladung","that's half distance, at this rate we won't make it to the end on this charge"
\voice\battery\half_distance_low_battery,2.wav,"das ist halbe Strecke, wir haben nicht genug Energie, um ans Ende zu kommen","das ist halbe Strecke, wir haben nicht genug Energie, um ans Ende zu kommen","that's half distance, we haven't got enough energy to get to the end"
\voice\battery\half_distance_low_battery,3.wav,"das ist halbe Strecke, wir haben nicht genug Energie, um zum Ende zu kommen","das ist halbe Strecke, wir haben nicht genug Energie, um zum Ende zu kommen","that's half distance, we don't have enough energy to get to the end"
\voice\battery\half_distance_low_battery,4.wav,"das ist halbe Strecke, wir werden vor Ende die Batterie leer haben","das ist halbe Strecke, wir werden vor Ende die Batterie leer haben","that's half distance, we'll be out of battery before the end"
\voice\battery\increase_battery_use_easily_make_end,1.wav,"du kannst jetzt die Batteriebetriebszeit erhöhen, wir haben genug Energie, um zum Ende durchzukommen","du kannst jetzt die Batteriebetriebszeit erhöhen, wir haben genug Energie, um zum Ende durchzukommen","you can increase your battery usage now, we've got plenty of energy to get us to the end"
\voice\battery\increase_battery_use_easily_make_end,2.wav,"wir haben genug Akku, um das Ende zu schaffen, du kannst deine Energieverwendung erhöhen","wir haben genug Akku, um das Ende zu schaffen, du kannst deine Energieverwendung erhöhen","we've got plenty of battery to make the end, you can increase your energy usage"
\voice\battery\increase_battery_use_easily_make_end,3.wav,"erhöhe deine energieverwendung, wir haben genug energie übrig, wir schaffen es bis ans ende","erhöhe deine energieverwendung, wir haben genug energie übrig, wir schaffen es bis ans ende","increase your energy usage, we've got plenty of energy to spare, we'll make it to the end"
\voice\battery\increase_battery_use_easily_make_half_distance,1.wav,"du kannst deine energieverwendung erhöhen, wir haben mehr als genug, um das mittelpunkt zu erreichen","du kannst deine energieverwendung erhöhen, wir haben mehr als genug, um das mittelpunkt zu erreichen","you can increase your energy usage, we have more than we need to make it to the midpoint"
\voice\battery\increase_battery_use_easily_make_half_distance,2.wav,"wir haben mehr als genug Energie, um die halbe Strecke zu schaffen, du kannst den Akkunaheinzug erhöhen","wir haben mehr als genug Energie, um die halbe Strecke zu schaffen, du kannst den Akkunaheinzug erhöhen","we have more than enough energy to make half distance, you can increase your battery usage"
\voice\battery\increase_battery_use_easily_make_half_distance,3.wav,"Erhöhe die Batteriebelastung, wir haben mehr als genug Energie, um die Hälfte der Strecke zu fahren","Erhöhe die Batteriebelastung, wir haben mehr als genug Energie, um die Hälfte der Strecke zu fahren","increase your battery usage, we've got more than enough energy to make half distance"
\voice\battery\laps,1.wav,Runden,Runden,Laps 
\voice\battery\laps,2.wav,Runden,Runden,Laps 
\voice\battery\laps,3.wav,Runden,Runden,Laps 
\voice\battery\laps,4.wav,Runden,Runden,Laps 
\voice\battery\laps_remaining,1.wav,verbleibende Energielaps,verbleibende Energielaps,laps of energy remaining
\voice\battery\laps_remaining,2.wav,verbleibende Runden zum Aufladen,verbleibende Runden zum Aufladen,laps of charge remaining
\voice\battery\laps_remaining,3.wav,verbleibende Runden im Akku,verbleibende Runden im Akku,laps remaining in the battery
\voice\battery\low_battery,1.wav,unser Ladung ist niedrig,unser Ladung ist niedrig,we're low on charge
\voice\battery\low_battery,2.wav,die Batteriespannung ist niedrig,die Batteriespannung ist niedrig,the battery level is low
\voice\battery\low_battery,3.wav,der Akkustand ist ziemlich niedrig,der Akkustand ist ziemlich niedrig,"the battery level is looking pretty low, now"
\voice\battery\minutes,1.wav,Minuten,Minuten,minutes
\voice\battery\minutes,2.wav,Minuten,Minuten,minutes
\voice\battery\minutes,3.wav,Minuten,Minuten,minutes
\voice\battery\minutes,4.wav,Minuten,Minuten,minutes
\voice\battery\minutes_remaining,1.wav,verbleibende Ladezeit in Minuten,verbleibende Ladezeit in Minuten,minutes of charge remaining
\voice\battery\minutes_remaining,2.wav,verbleibende Energieminuten,verbleibende Energieminuten,minutes of energy remaining
\voice\battery\minutes_remaining,3.wav,Minuten bis zum Batterieausfall,Minuten bis zum Batterieausfall,minutes left in the battery
\voice\battery\on_last_lap_you_used,1.wav,im letzten Rennen hast du verwendet,im letzten Rennen hast du verwendet,on last lap you used
\voice\battery\on_last_lap_you_used,2.wav,in deiner letzten Runde hast du verwendet,in deiner letzten Runde hast du verwendet,on your last lap you used
\voice\battery\on_last_lap_you_used,3.wav,im letzten Rennen hast du verwendet,im letzten Rennen hast du verwendet,on the last lap you used
\voice\battery\one_lap_battery,1.wav,ein Rund mit Akku-Leistung übrig,ein Rund mit Akku-Leistung übrig,one lap of battery power left
\voice\battery\one_lap_battery,2.wav,ein Runde übrig bei unserer aktuellen_charge,ein Runde übrig bei unserer aktuellen_charge,one lap left on our current charge
\voice\battery\one_lap_battery,3.wav,es bleibt eine Runde an dieser Batterie,es bleibt eine Runde an dieser Batterie,there's one lap left in this battery
\voice\battery\percent,1.wav,Prozent,Prozent,percent
\voice\battery\percent,2.wav,Prozent,Prozent,percent
\voice\battery\percent,3.wav,Prozent,Prozent,percent
\voice\battery\percent_of_your_battery,1.wav,Prozent Ihres Akkus,Prozent Ihres Akkus,percent of your battery
\voice\battery\percent_of_your_battery,2.wav,Prozent Ihres Energieverbrauchs,Prozent Ihres Energieverbrauchs,percent of your energy
\voice\battery\percent_of_your_battery,3.wav,Prozent Ihres verbleibenden Akkus,Prozent Ihres verbleibenden Akkus,percent of your remaining battery
\voice\battery\percent_of_your_battery,4.wav,Prozent Ihres Akkus,Prozent Ihres Akkus,percent of your battery
\voice\battery\percent_per_lap,1.wav,Prozent pro Runde,Prozent pro Runde,percent per lap
\voice\battery\percent_per_lap,2.wav,Prozent pro Runde,Prozent pro Runde,percent per lap
\voice\battery\percent_per_lap,3.wav,Prozent pro Runde,Prozent pro Runde,percent per lap
\voice\battery\percent_remaining,1.wav,Prozent Ladung verbleibend,Prozent Ladung verbleibend,percent of charge remaining
\voice\battery\percent_remaining,2.wav,Prozent restlich,Prozent restlich,percent remaining
\voice\battery\percent_remaining,3.wav,Prozent Akku restlich,Prozent Akku restlich,percent battery remaining
\voice\battery\percent_remaining,4.wav,Prozent Akku restlich,Prozent Akku restlich,percent battery remaining
\voice\battery\plenty_of_battery,1.wav,genug Akku,genug Akku,plenty of battery
\voice\battery\plenty_of_battery,2.wav,die Batterie hat ausreichend Ladekapazität,die Batterie hat ausreichend Ladekapazität,the battery's has got plenty of charge in it
\voice\battery\plenty_of_battery,3.wav,du hast genug Akkuenergie,du hast genug Akkuenergie,you got plenty of battery energy
\voice\battery\plenty_of_battery,4.wav,du hast jede Menge Energie,du hast jede Menge Energie,you got loads of energy
\voice\battery\plenty_of_battery,5.wav,viele Batterien,viele Batterien,plenty of battery
