audio_filename,original_text,text_for_tts
\voice\battery\critical_battery:4.wav,"critical battery level, we're really low on energy",
\voice\battery\current_charge_should_make_end:1.wav,you should be able to make it to the end on this charge,
\voice\battery\current_charge_should_make_end:2.wav,your current charge level should last to the end of the race,
\voice\battery\current_charge_should_make_end:3.wav,we think you'll make it to the end on your current charge,
\voice\battery\current_charge_should_make_half_distance:1.wav,should be able to reach the middle of the race on the current charge,
\voice\battery\current_charge_should_make_half_distance:2.wav,should be able to make the midpoint of the race on the current charge,
\voice\battery\current_charge_should_make_half_distance:3.wav,the current charge should last you to the midpoint of the race,
\voice\battery\five_minutes_battery:1.wav,there's about 5 minutes left in this battery,
\voice\battery\five_minutes_battery:2.wav,we've got about 5 more minutes on this battery,
\voice\battery\five_minutes_battery:3.wav,this battery will last about 5 more minutes,
\voice\battery\four_laps_battery:1.wav,we got 4 laps of battery power left,
\voice\battery\four_laps_battery:2.wav,there's about 4 laps left in the battery,
\voice\battery\four_laps_battery:3.wav,the battery will last about 4 more laps,
\voice\battery\half_charge_warning:1.wav,we got half our battery charge remaining,
\voice\battery\half_charge_warning:2.wav,the battery is now at half power,
\voice\battery\half_charge_warning:3.wav,"we got half the battery power left, now",
\voice\battery\half_distance_good_battery:1.wav,"half distance, the battery looks good, we'll make it to the end",
\voice\battery\half_distance_good_battery:2.wav,"half distance, the battery power looks okay",
\voice\battery\half_distance_good_battery:3.wav,"that's half distance, the battery looks good, we think we'll make it to the end",
\voice\battery\half_distance_good_battery:4.wav,"half distance, we should have enough power to get to the end",
\voice\battery\half_distance_low_battery:1.wav,"that's half distance, at this rate we won't make it to the end on this charge",
\voice\battery\half_distance_low_battery:2.wav,"that's half distance, we haven't got enough energy to get to the end",
\voice\battery\half_distance_low_battery:3.wav,"that's half distance, we don't have enough energy to get to the end",
\voice\battery\half_distance_low_battery:4.wav,"that's half distance, we'll be out of battery before the end",
\voice\battery\increase_battery_use_easily_make_end:1.wav,"you can increase your battery usage now, we've got plenty of energy to get us to the end",
\voice\battery\increase_battery_use_easily_make_end:2.wav,"we've got plenty of battery to make the end, you can increase your energy usage",
\voice\battery\increase_battery_use_easily_make_end:3.wav,"increase your energy usage, we've got plenty of energy to spare, we'll make it to the end",
\voice\battery\increase_battery_use_easily_make_half_distance:1.wav,"you can increase your energy usage, we have more than we need to make it to the midpoint",
\voice\battery\increase_battery_use_easily_make_half_distance:2.wav,"we have more than enough energy to make half distance, you can increase your battery usage",
\voice\battery\increase_battery_use_easily_make_half_distance:3.wav,"increase your battery usage, we've got more than enough energy to make half distance",
\voice\battery\laps:1.wav,Laps ,
\voice\battery\laps:2.wav,Laps ,
\voice\battery\laps:3.wav,Laps ,
\voice\battery\laps:4.wav,Laps ,
\voice\battery\laps_remaining:1.wav,laps of energy remaining,
\voice\battery\laps_remaining:2.wav,laps of charge remaining,
\voice\battery\laps_remaining:3.wav,laps remaining in the battery,
\voice\battery\low_battery:1.wav,we're low on charge,
\voice\battery\low_battery:2.wav,the battery level is low,
\voice\battery\low_battery:3.wav,"the battery level is looking pretty low, now",
\voice\battery\minutes:1.wav,minutes,
\voice\battery\minutes:2.wav,minutes,
\voice\battery\minutes:3.wav,minutes,
\voice\battery\minutes:4.wav,minutes,
\voice\battery\minutes_remaining:1.wav,minutes of charge remaining,
\voice\battery\minutes_remaining:2.wav,minutes of energy remaining,
\voice\battery\minutes_remaining:3.wav,minutes left in the battery,
\voice\battery\on_last_lap_you_used:1.wav,on last lap you used,
\voice\battery\on_last_lap_you_used:2.wav,on your last lap you used,
\voice\battery\on_last_lap_you_used:3.wav,on the last lap you used,
\voice\battery\one_lap_battery:1.wav,one lap of battery power left,
\voice\battery\one_lap_battery:2.wav,one lap left on our current charge,
\voice\battery\one_lap_battery:3.wav,there's one lap left in this battery,
\voice\battery\percent:1.wav,percent,
\voice\battery\percent:2.wav,percent,
\voice\battery\percent:3.wav,percent,
\voice\battery\percent_of_your_battery:1.wav,percent of your battery,
\voice\battery\percent_of_your_battery:2.wav,percent of your energy,
\voice\battery\percent_of_your_battery:3.wav,percent of your remaining battery,
\voice\battery\percent_of_your_battery:4.wav,percent of your battery,
\voice\battery\percent_per_lap:1.wav,percent per lap,
\voice\battery\percent_per_lap:2.wav,percent per lap,
\voice\battery\percent_per_lap:3.wav,percent per lap,
\voice\battery\percent_remaining:1.wav,percent of charge remaining,
\voice\battery\percent_remaining:2.wav,percent remaining,
\voice\battery\percent_remaining:3.wav,percent battery remaining,
\voice\battery\percent_remaining:4.wav,percent battery remaining,
\voice\battery\plenty_of_battery:1.wav,plenty of battery,
\voice\battery\plenty_of_battery:2.wav,the battery's has got plenty of charge in it,
\voice\battery\plenty_of_battery:3.wav,you got plenty of battery energy,
\voice\battery\plenty_of_battery:4.wav,you got loads of energy,
\voice\battery\plenty_of_battery:5.wav,plenty of battery,
\voice\battery\reduce_battery_use_to_make_end:1.wav,you'll need to reduce your battery use if you're going to make it to the end,
\voice\battery\reduce_battery_use_to_make_end:2.wav,you won't make it to the end unless you reduce your battery use,
\voice\battery\reduce_battery_use_to_make_end:3.wav,you'll need to drop your battery use to make it to the end of the race,
\voice\battery\reduce_battery_use_to_make_half_distance:1.wav,you'll need to reduce your battery use to reach half distance,
\voice\battery\reduce_battery_use_to_make_half_distance:2.wav,you'll need to drop your battery use if you're going to make mid point of the race,
\voice\battery\reduce_battery_use_to_make_half_distance:3.wav,you'll need to reduce your battery use to reach the halfway point,
\voice\battery\ten_minutes_battery:1.wav,there's about 10 minutes left in this battery,
\voice\battery\ten_minutes_battery:2.wav,we'll be out of battery in about 10 minutes,
\voice\battery\ten_minutes_battery:3.wav,we got about 10 minutes of charge left,
\voice\battery\three_laps_battery:1.wav,we got enough power for 3 more laps,
\voice\battery\three_laps_battery:2.wav,we think we'll be out of battery in 3 laps,
\voice\battery\three_laps_battery:3.wav,we got about 3 laps left in the battery,
\voice\battery\two_laps_battery:1.wav,we think about 2 laps left in this battery,
\voice\battery\two_laps_battery:2.wav,we got enough power for 2 laps now,
\voice\battery\two_laps_battery:3.wav,2 laps remaining in the battery,
\voice\battery\two_minutes_battery:1.wav,we got enough charge for 2 more minutes,
\voice\battery\two_minutes_battery:2.wav,we'll be out of battery in 2 minutes,
\voice\battery\two_minutes_battery:3.wav,we've got 2 minutes left in this battery,
\voice\battery\we_estimate:1.wav,we estimate,
\voice\battery\we_estimate:2.wav,we think about,
\voice\battery\we_estimate:3.wav,we estimate,
\voice\battery\we_estimate:4.wav,it looks like,
\voice\battery\we_will_get_another:1.wav,we'll get about,
\voice\battery\we_will_get_another:2.wav,we're good for another,
\voice\battery\we_will_get_another:3.wav,we'll get about,
\voice\battery\we_will_get_another:4.wav,we're good for another,
\voice\battery\wont_make_end_without_pitstop:1.wav,"we don't have enough energy to get to the end, we'll need to stop",
\voice\battery\wont_make_end_without_pitstop:2.wav,"we don't have enough battery to make it to the end of the race, we'll need to stop",
\voice\battery\wont_make_end_without_pitstop:3.wav,"we'll need to stop before the end of the race, we don't have enough energy",
\voice\battery\wont_make_half_distance_without_pitstop:1.wav,we're not going to make it to half distance without a pit stop,
\voice\battery\wont_make_half_distance_without_pitstop:2.wav,"we don't have enough energy to get us to half distance, we'll need to stop",
\voice\battery\wont_make_half_distance_without_pitstop:3.wav,"you don't have enough energy to make it to half way, we'll need to stop",
\voice\codriver\acknowledge_end_recce:1.wav,"OK, we've finished our stage reh-key",
\voice\codriver\acknowledge_end_recce:2.wav,"OK, we've finished our stage reh-key",
\voice\codriver\acknowledge_end_recce:3.wav,"OK, we've finished our stage reh-key",
\voice\codriver\acknowledge_start_recce:1.wav,"OK, we're starting our stage reh-key",
\voice\codriver\acknowledge_start_recce:2.wav,"OK, we're starting our stage reh-key",
\voice\codriver\acknowledge_start_recce:3.wav,"OK, we're starting our stage reh-key",
\voice\codriver\cmp_into_corner_1_left:5.wav,into 1 left,
\voice\codriver\cmp_into_corner_1_left:6.wav,into 1 left,
\voice\codriver\cmp_into_corner_1_left:7.wav,into 1 left,
\voice\codriver\cmp_into_corner_1_left:8.wav,into 1 left,
\voice\codriver\cmp_into_corner_1_left_descriptive:1.wav,into hairpin left,
\voice\codriver\cmp_into_corner_1_left_descriptive:2.wav,into hairpin left,
\voice\codriver\cmp_into_corner_1_left_descriptive:3.wav,into hairpin left,
\voice\codriver\cmp_into_corner_1_left_descriptive:4.wav,into hairpin left,
\voice\codriver\cmp_into_corner_1_left_descriptive_rushed:5.wav,into hairpin left,
\voice\codriver\cmp_into_corner_1_left_descriptive_rushed:6.wav,into hairpin left,
\voice\codriver\cmp_into_corner_1_left_descriptive_rushed:7.wav,into hairpin left,
\voice\codriver\cmp_into_corner_1_left_descriptive_rushed:8.wav,into hairpin left,
\voice\codriver\cmp_into_corner_1_left_rushed:10.wav,into 1 left,
\voice\codriver\cmp_into_corner_1_left_rushed:11.wav,into 1 left,
\voice\codriver\cmp_into_corner_1_left_rushed:12.wav,into 1 left,
\voice\codriver\cmp_into_corner_1_left_rushed:9.wav,into 1 left,
\voice\codriver\cmp_into_corner_1_right:17.wav,into 1 right,
\voice\codriver\cmp_into_corner_1_right:18.wav,into 1 right,
\voice\codriver\cmp_into_corner_1_right:19.wav,into 1 right,
\voice\codriver\cmp_into_corner_1_right:20.wav,into 1 right,
\voice\codriver\cmp_into_corner_1_right_descriptive:10.wav,into hairpin right,
\voice\codriver\cmp_into_corner_1_right_descriptive:11.wav,into hairpin right,
\voice\codriver\cmp_into_corner_1_right_descriptive:12.wav,into hairpin right,
\voice\codriver\cmp_into_corner_1_right_descriptive:9.wav,into hairpin right,
\voice\codriver\cmp_into_corner_1_right_descriptive_rushed:13.wav,into hairpin right,
\voice\codriver\cmp_into_corner_1_right_descriptive_rushed:14.wav,into hairpin right,
\voice\codriver\cmp_into_corner_1_right_descriptive_rushed:15.wav,into hairpin right,
\voice\codriver\cmp_into_corner_1_right_descriptive_rushed:16.wav,into hairpin right,
\voice\codriver\cmp_into_corner_1_right_rushed:21.wav,into 1 right,
\voice\codriver\cmp_into_corner_1_right_rushed:22.wav,into 1 right,
\voice\codriver\cmp_into_corner_1_right_rushed:23.wav,into 1 right,
\voice\codriver\cmp_into_corner_1_right_rushed:24.wav,into 1 right,
\voice\codriver\cmp_into_corner_2_left:29.wav,into 2 left,
\voice\codriver\cmp_into_corner_2_left:30.wav,into 2 left,
\voice\codriver\cmp_into_corner_2_left:31.wav,into 2 left,
\voice\codriver\cmp_into_corner_2_left:32.wav,into 2 left,
\voice\codriver\cmp_into_corner_2_left_descriptive:17.wav,into slow left,
\voice\codriver\cmp_into_corner_2_left_descriptive:18.wav,into slow left,
\voice\codriver\cmp_into_corner_2_left_descriptive:19.wav,into slow left,
\voice\codriver\cmp_into_corner_2_left_descriptive:20.wav,into slow left,
\voice\codriver\cmp_into_corner_2_left_descriptive_rushed:21.wav,into slow left,
\voice\codriver\cmp_into_corner_2_left_descriptive_rushed:22.wav,into slow left,
\voice\codriver\cmp_into_corner_2_left_descriptive_rushed:23.wav,into slow left,
\voice\codriver\cmp_into_corner_2_left_descriptive_rushed:24.wav,into slow left,
\voice\codriver\cmp_into_corner_2_left_rushed:33.wav,into 2 left,
\voice\codriver\cmp_into_corner_2_left_rushed:34.wav,into 2 left,
\voice\codriver\cmp_into_corner_2_left_rushed:35.wav,into 2 left,
\voice\codriver\cmp_into_corner_2_left_rushed:36.wav,into 2 left,
\voice\codriver\cmp_into_corner_2_right:5.wav,into 2 right,
\voice\codriver\cmp_into_corner_2_right:6.wav,into 2 right,
\voice\codriver\cmp_into_corner_2_right:7.wav,into 2 right,
\voice\codriver\cmp_into_corner_2_right:8.wav,into 2 right,
\voice\codriver\cmp_into_corner_2_right_descriptive:25.wav,into sloe right,
\voice\codriver\cmp_into_corner_2_right_descriptive:26.wav,into sloe right,
\voice\codriver\cmp_into_corner_2_right_descriptive:27.wav,into sloe right,
\voice\codriver\cmp_into_corner_2_right_descriptive:28.wav,into sloe right,
\voice\codriver\cmp_into_corner_2_right_descriptive_rushed:29.wav,into sloe right,
\voice\codriver\cmp_into_corner_2_right_descriptive_rushed:30.wav,into sloe right,
\voice\codriver\cmp_into_corner_2_right_descriptive_rushed:31.wav,into sloe right,
\voice\codriver\cmp_into_corner_2_right_descriptive_rushed:32.wav,into sloe right,
\voice\codriver\cmp_into_corner_2_right_rushed:10.wav,into 2 right,
\voice\codriver\cmp_into_corner_2_right_rushed:11.wav,into 2 right,
\voice\codriver\cmp_into_corner_2_right_rushed:12.wav,into 2 right,
\voice\codriver\cmp_into_corner_2_right_rushed:9.wav,into 2 right,
\voice\codriver\cmp_into_corner_3_left:17.wav,into 3 left,
\voice\codriver\cmp_into_corner_3_left:18.wav,into 3 left,
\voice\codriver\cmp_into_corner_3_left:19.wav,into 3 left,
\voice\codriver\cmp_into_corner_3_left:20.wav,into 3 left,
\voice\codriver\cmp_into_corner_3_left_descriptive:33.wav,into kay left,
\voice\codriver\cmp_into_corner_3_left_descriptive:34.wav,into kay left,
\voice\codriver\cmp_into_corner_3_left_descriptive:35.wav,into kay left,
\voice\codriver\cmp_into_corner_3_left_descriptive:36.wav,into kay left,
\voice\codriver\cmp_into_corner_3_left_descriptive_rushed:37.wav,into kay left,
\voice\codriver\cmp_into_corner_3_left_descriptive_rushed:38.wav,into kay left,
\voice\codriver\cmp_into_corner_3_left_descriptive_rushed:39.wav,into kay left,
\voice\codriver\cmp_into_corner_3_left_descriptive_rushed:40.wav,into kay left,
\voice\codriver\cmp_into_corner_3_left_rushed:21.wav,into 3 left,
\voice\codriver\cmp_into_corner_3_left_rushed:22.wav,into 3 left,
\voice\codriver\cmp_into_corner_3_left_rushed:23.wav,into 3 left,
\voice\codriver\cmp_into_corner_3_left_rushed:24.wav,into 3 left,
\voice\codriver\cmp_into_corner_3_right:41.wav,into 3 right,
\voice\codriver\cmp_into_corner_3_right:42.wav,into 3 right,
\voice\codriver\cmp_into_corner_3_right:43.wav,into 3 right,
\voice\codriver\cmp_into_corner_3_right:44.wav,into 3 right,
\voice\codriver\cmp_into_corner_3_right_descriptive:41.wav,into kay right,
\voice\codriver\cmp_into_corner_3_right_descriptive:42.wav,into kay right,
\voice\codriver\cmp_into_corner_3_right_descriptive:43.wav,into kay right,
\voice\codriver\cmp_into_corner_3_right_descriptive:44.wav,into kay right,
\voice\codriver\cmp_into_corner_3_right_descriptive_rushed:45.wav,into kay right,
\voice\codriver\cmp_into_corner_3_right_descriptive_rushed:46.wav,into kay right,
\voice\codriver\cmp_into_corner_3_right_descriptive_rushed:47.wav,into kay right,
\voice\codriver\cmp_into_corner_3_right_descriptive_rushed:48.wav,into kay right,
\voice\codriver\cmp_into_corner_3_right_rushed:45.wav,into 3 right,
\voice\codriver\cmp_into_corner_3_right_rushed:46.wav,into 3 right,
\voice\codriver\cmp_into_corner_3_right_rushed:47.wav,into 3 right,
\voice\codriver\cmp_into_corner_3_right_rushed:48.wav,into 3 right,
\voice\codriver\cmp_into_corner_4_left:53.wav,into 4 left,
\voice\codriver\cmp_into_corner_4_left:54.wav,into 4 left,
\voice\codriver\cmp_into_corner_4_left:55.wav,into 4 left,
\voice\codriver\cmp_into_corner_4_left:56.wav,into 4 left,
\voice\codriver\cmp_into_corner_4_left_descriptive:49.wav,into medium left,
\voice\codriver\cmp_into_corner_4_left_descriptive:50.wav,into medium left,
\voice\codriver\cmp_into_corner_4_left_descriptive:51.wav,into medium left,
\voice\codriver\cmp_into_corner_4_left_descriptive:52.wav,into medium left,
\voice\codriver\cmp_into_corner_4_left_descriptive_rushed:53.wav,into medium left,
\voice\codriver\cmp_into_corner_4_left_descriptive_rushed:54.wav,into medium left,
\voice\codriver\cmp_into_corner_4_left_descriptive_rushed:55.wav,into medium left,
\voice\codriver\cmp_into_corner_4_left_descriptive_rushed:56.wav,into medium left,
\voice\codriver\cmp_into_corner_4_left_rushed:57.wav,into 4 left,
\voice\codriver\cmp_into_corner_4_left_rushed:58.wav,into 4 left,
\voice\codriver\cmp_into_corner_4_left_rushed:59.wav,into 4 left,
\voice\codriver\cmp_into_corner_4_left_rushed:60.wav,into 4 left,
\voice\codriver\cmp_into_corner_4_right:65.wav,into 4 right,
\voice\codriver\cmp_into_corner_4_right:66.wav,into 4 right,
\voice\codriver\cmp_into_corner_4_right:67.wav,into 4 right,
\voice\codriver\cmp_into_corner_4_right:68.wav,into 4 right,
\voice\codriver\cmp_into_corner_4_right_descriptive:57.wav,into medium right,
\voice\codriver\cmp_into_corner_4_right_descriptive:58.wav,into medium right,
\voice\codriver\cmp_into_corner_4_right_descriptive:59.wav,into medium right,
\voice\codriver\cmp_into_corner_4_right_descriptive:60.wav,into medium right,
\voice\codriver\cmp_into_corner_4_right_descriptive_rushed:61.wav,into medium right,
\voice\codriver\cmp_into_corner_4_right_descriptive_rushed:62.wav,into medium right,
\voice\codriver\cmp_into_corner_4_right_descriptive_rushed:63.wav,into medium right,
\voice\codriver\cmp_into_corner_4_right_descriptive_rushed:64.wav,into medium right,
\voice\codriver\cmp_into_corner_4_right_rushed:69.wav,into 4 right,
\voice\codriver\cmp_into_corner_4_right_rushed:70.wav,into 4 right,
\voice\codriver\cmp_into_corner_4_right_rushed:71.wav,into 4 right,
\voice\codriver\cmp_into_corner_4_right_rushed:72.wav,into 4 right,
\voice\codriver\cmp_into_corner_5_left:77.wav,into 5 left,
\voice\codriver\cmp_into_corner_5_left:78.wav,into 5 left,
\voice\codriver\cmp_into_corner_5_left:79.wav,into 5 left,
\voice\codriver\cmp_into_corner_5_left:80.wav,into 5 left,
\voice\codriver\cmp_into_corner_5_left_descriptive:65.wav,into fast left,
\voice\codriver\cmp_into_corner_5_left_descriptive:66.wav,into fast left,
\voice\codriver\cmp_into_corner_5_left_descriptive:67.wav,into fast left,
\voice\codriver\cmp_into_corner_5_left_descriptive:68.wav,into fast left,
\voice\codriver\cmp_into_corner_5_left_descriptive_rushed:69.wav,into fast left,
\voice\codriver\cmp_into_corner_5_left_descriptive_rushed:70.wav,into fast left,
\voice\codriver\cmp_into_corner_5_left_descriptive_rushed:71.wav,into fast left,
\voice\codriver\cmp_into_corner_5_left_descriptive_rushed:72.wav,into fast left,
\voice\codriver\cmp_into_corner_5_left_rushed:81.wav,into 5 left,
\voice\codriver\cmp_into_corner_5_left_rushed:82.wav,into 5 left,
\voice\codriver\cmp_into_corner_5_left_rushed:83.wav,into 5 left,
\voice\codriver\cmp_into_corner_5_left_rushed:84.wav,into 5 left,
\voice\codriver\cmp_into_corner_5_right:89.wav,into 5 right,
\voice\codriver\cmp_into_corner_5_right:90.wav,into 5 right,
\voice\codriver\cmp_into_corner_5_right:91.wav,into 5 right,
\voice\codriver\cmp_into_corner_5_right:92.wav,into 5 right,
\voice\codriver\cmp_into_corner_5_right_descriptive:73.wav,into fast right,
\voice\codriver\cmp_into_corner_5_right_descriptive:74.wav,into fast right,
\voice\codriver\cmp_into_corner_5_right_descriptive:75.wav,into fast right,
\voice\codriver\cmp_into_corner_5_right_descriptive:76.wav,into fast right,
